"symbol","resolution","timestamp_utc","volume"
"BHL","1m","2026-03-24T06:36:52.0000000Z","231"
"BHL","1m","2026-03-24T06:37:48.0000000Z","60"
"BHL","1m","2026-03-24T06:38:04.0000000Z","30"
"BHL","1m","2026-03-24T06:39:59.0000000Z","845"
"BHL","1m","2026-03-24T06:40:31.0000000Z","23"
"BHL","1m","2026-03-24T06:41:58.0000000Z","2420"
"BHL","1m","2026-03-24T06:42:53.0000000Z","2248"
"BHL","1m","2026-03-24T06:43:39.0000000Z","878"
"BHL","1m","2026-03-24T06:44:50.0000000Z","14304"
"BHL","1m","2026-03-24T06:45:59.0000000Z","1663"
"BHL","1m","2026-03-24T06:46:23.0000000Z","1000"
"BHL","1m","2026-03-24T06:47:43.0000000Z","2010"
"BHL","1m","2026-03-24T06:48:32.0000000Z","300"
"BHL","1m","2026-03-24T06:49:58.0000000Z","335"
"BHL","1m","2026-03-24T06:50:58.0000000Z","54"
"BHL","1m","2026-03-24T06:51:57.0000000Z","2300"
"BHL","1m","2026-03-24T06:53:48.0000000Z","2624"
"BHL","1m","2026-03-24T06:54:51.0000000Z","2161"
"BHL","1m","2026-03-24T06:56:52.0000000Z","3762"
"BHL","1m","2026-03-24T06:57:42.0000000Z","150"
"BHL","1m","2026-03-24T06:58:56.0000000Z","110"
"BHL","1m","2026-03-24T06:59:41.0000000Z","0"
"BHL","1m","2026-03-24T07:00:38.0000000Z","6266"
"BHL","1m","2026-03-24T07:01:30.0000000Z","5842"
"BHL","1m","2026-03-24T07:03:58.0000000Z","1030"
"BHL","1m","2026-03-24T07:04:38.0000000Z","3021"
"BHL","1m","2026-03-24T07:05:42.0000000Z","270"
"BHL","1m","2026-03-24T07:06:41.0000000Z","420"
"BHL","1m","2026-03-24T07:07:59.0000000Z","510"
"BHL","1m","2026-03-24T07:09:39.0000000Z","2780"
"BHL","1m","2026-03-24T07:10:25.0000000Z","340"
"BHL","1m","2026-03-24T07:12:53.0000000Z","600"
"BHL","1m","2026-03-24T07:13:52.0000000Z","590"
"BHL","1m","2026-03-24T07:14:54.0000000Z","1856"
"BHL","1m","2026-03-24T07:16:37.0000000Z","325"
"BHL","1m","2026-03-24T07:17:50.0000000Z","84"
"BHL","1m","2026-03-24T07:18:50.0000000Z","581"
"BHL","1m","2026-03-24T07:19:55.0000000Z","1590"
"BHL","1m","2026-03-24T07:20:28.0000000Z","119"
"BHL","1m","2026-03-24T07:21:32.0000000Z","170"
"BHL","1m","2026-03-24T07:22:54.0000000Z","3260"
"BHL","1m","2026-03-24T07:23:10.0000000Z","1000"
"BHL","1m","2026-03-24T07:24:49.0000000Z","1841"
"BHL","1m","2026-03-24T07:25:51.0000000Z","200"
"BHL","1m","2026-03-24T07:26:52.0000000Z","688"
"BHL","1m","2026-03-24T07:27:32.0000000Z","21"
"BHL","1m","2026-03-24T07:28:48.0000000Z","760"
"BHL","1m","2026-03-24T07:29:45.0000000Z","2010"
"BHL","1m","2026-03-24T07:30:10.0000000Z","10"
"BHL","1m","2026-03-24T07:33:22.0000000Z","236"
"BHL","1m","2026-03-24T07:34:03.0000000Z","50"
"BHL","1m","2026-03-24T07:35:49.0000000Z","580"
"BHL","1m","2026-03-24T07:36:15.0000000Z","1554"
"BHL","1m","2026-03-24T07:38:34.0000000Z","1725"
"BHL","1m","2026-03-24T07:39:19.0000000Z","320"
"BHL","1m","2026-03-24T07:41:44.0000000Z","1810"
"BHL","1m","2026-03-24T07:42:54.0000000Z","100"
"BHL","1m","2026-03-24T07:43:33.0000000Z","500"
"BHL","1m","2026-03-24T07:45:51.0000000Z","10"
"BHL","1m","2026-03-24T07:47:27.0000000Z","180"
"BHL","1m","2026-03-24T07:48:27.0000000Z","100"
"BHL","1m","2026-03-24T07:50:54.0000000Z","290"
"BHL","1m","2026-03-24T07:51:23.0000000Z","0"
