date_np,bars,volume,open,high,low,close
2026-01-18,92,31975,274.9,276,271,273
2026-01-20,127,75944,276,283,273.2,276.7
2026-01-21,106,48869,271.2,283,271.2,279
2026-01-22,83,34649,279,282.6,276,281.1
2026-01-25,132,82032,280,292,280,291
2026-01-26,123,74347,293.7,294,283.6,289.9
2026-01-27,147,75361,295.6,298,281.3,284
2026-01-28,131,109632,281.2,289,275,289
2026-01-29,180,204562,294,304.9,287.3,292
2026-02-01,101,27176,292,292,285,287
2026-02-02,92,89638,285,290,281.4,283
2026-02-03,89,60079,287.9,287.9,276.5,277.1
2026-02-04,83,54168,277,282.5,275.3,280
2026-02-05,128,64251,277,287.6,277,285
2026-02-08,114,43262,285,295,280.4,281
2026-02-09,102,41635,278.2,284.9,276,278
2026-02-10,96,56222,274,284.9,274,280
2026-02-11,81,34103,281,284.7,277.1,280.5
2026-02-12,186,603032,284,308.5,282,308.2
2026-02-16,193,277243,314.3,322,303,305
2026-02-17,144,157523,305,309.5,293.4,294
2026-02-22,114,72104,290,290,280.1,282
2026-02-23,86,92412,280,289,277,279
2026-02-24,94,36620,283.9,284,280,284
2026-02-25,96,28492,284,290.8,284,285.2
2026-02-26,77,28856,285,289,283,284
2026-03-01,71,51045,280.1,286.8,280,281
2026-03-03,95,59675,284,293,282,292.7
2026-03-09,3,4968,298.5,321,298.5,316
2026-03-10,175,208899,318,318,299.1,301.5
2026-03-11,132,82776,301.5,307,297,301
2026-03-12,124,77972,304.9,309.7,299,307.9
2026-03-15,139,93644,309,312.8,305,306.2
2026-03-16,120,87240,306,308,303.5,305
2026-03-17,116,217780,305,306,299,304.8
2026-03-19,207,344619,305,324,304,318
2026-03-22,158,167129,324,324,308,313.3
2026-03-23,115,143778,316,320,309,316
2026-03-24,143,78078,316.2,324,316.2,320
2026-03-25,107,113416,322.9,322.9,312.1,312.2
2026-03-26,106,55381,314.5,314.8,308.3,314.2
2026-03-29,154,88429,314,316,302,306
2026-03-30,133,98719,306,308,292.2,296.5
2026-03-31,125,50424,302,302,290,297.2
2026-04-01,115,50045,302.9,302.9,289.5,293.8
2026-04-02,108,55284,289.2,295,276.1,292
2026-04-05,130,79919,286.2,293.6,273,274.6
2026-04-06,123,55382,275,288,271.1,285
2026-04-07,84,37867,290,292.9,285,287
2026-04-08,69,21585,291.9,292,288.1,288.1
2026-04-09,108,42193,286.2,297,286.2,295
2026-04-10,86,29559,291,297,291,293
2026-04-13,95,49312,287.2,299.8,287.2,295
2026-04-15,97,27129,295.1,301,294,298
2026-04-16,79,28943,300,300,289,292.7
2026-04-17,65,27163,288.7,294,286.1,292.5
2026-04-20,64,23755,287,293,285.1,288
2026-04-21,87,16974,282,293,282,286
2026-04-22,92,30225,285,290,280.4,288
2026-04-23,56,16929,285,286.5,281.1,281.7
2026-04-24,70,18849,280,283,279,280.4
