date_np,bars,volume,open,high,low,close
2025-07-29,206,449639,306.67,309.52,296.95,300.81
2025-07-30,206,454058,304.76,304.76,295.24,295.36
2025-07-31,210,413498,291.43,299.05,291.43,291.95
2025-08-03,214,369479,286.67,293.33,285.81,286.25
2025-08-04,202,341467,286.67,289.52,282.86,287.1
2025-08-05,152,246332,288.57,289.43,279.14,279.8
2025-08-06,152,164796,282.86,282.86,279.05,280.34
2025-08-07,159,198534,277.24,285.71,277.14,284.04
2025-08-11,173,171537,278.38,293.33,278.38,282.83
2025-08-12,133,170391,278.19,282.86,278.1,278.91
2025-08-13,141,148585,276.19,282.86,276.19,280.49
2025-08-14,122,122516,277.43,283.43,277.43,279.6
2025-08-17,167,216382,282.86,283.71,280.48,281.36
2025-08-18,165,237965,276.48,285.71,276.48,282.36
2025-08-19,180,215956,284.76,288.1,283.14,285.87
2025-08-20,123,155526,285.71,288.48,281.05,282
2025-08-21,124,117295,282.1,283.71,279.33,280.85
2025-08-24,140,154318,275.24,285.43,275.24,277.04
2025-08-25,144,162187,277.14,279.05,272.95,276.92
2025-08-26,86,56417,279.05,280,275.43,276.34
2025-08-27,139,141137,277.14,284.76,276.48,284.26
2025-08-28,151,169160,282.86,285.62,277.14,277.74
2025-08-31,124,127041,275.9,279.05,273.14,273.61
2025-09-01,113,83609,274.29,277.14,272.67,274.92
2025-09-02,95,82434,276.1,278.1,271.52,272.17
2025-09-03,115,61377,271.71,275.24,270.57,271.33
2025-09-04,143,163827,274.29,274.29,267.14,269.89
2025-09-07,120,106560,271.43,274.29,269.52,272.83
2025-09-08,91,112629,273.33,273.33,266.76,268.8
2025-09-18,8,42527,263.81,263.81,248.38,255.24
2025-09-21,197,272225,254.29,276.76,254.29,275.1
2025-09-23,164,188515,278.95,280.95,272.76,278
2025-09-24,144,120290,280.95,282.67,274.76,277.14
2025-09-25,106,98415,279.05,279.05,274.57,278.1
2025-09-28,122,99855,280,281.62,278.1,281.52
2025-10-07,158,163286,281.52,281.52,272.38,274.29
2025-10-08,162,239118,276.19,276.19,265.71,268.19
2025-10-09,150,236639,278.95,280.95,271.43,273.33
2025-10-12,172,225531,267.9,271.43,263.05,263.24
2025-10-13,141,196674,265.71,270.48,260.95,267.62
2025-10-14,87,61875,270.38,270.38,263.33,266.48
2025-10-15,117,112558,266.67,268.1,260.38,261.9
2025-10-16,104,114630,258.76,265.24,257.14,257.33
2025-10-19,111,81938,260.95,272.38,257.14,258.57
2025-10-26,105,56201,256.19,260,255.24,258.1
2025-10-28,134,93881,260.95,269.52,260.95,267.24
2025-10-29,159,255768,271.43,273.33,265.71,267.62
2025-10-30,138,213281,267.71,274.29,266.67,273.24
2025-11-02,179,296795,276.19,281.43,274.29,279.9
2025-11-03,143,162964,276.19,280.95,273.33,276
2025-11-04,116,193420,271.71,277.52,269.81,272.86
2025-11-05,104,82004,272.38,273.33,269.9,273.24
2025-11-06,100,79922,276.67,276.67,269.71,270.95
2025-11-09,91,103345,269.05,273.33,266.67,268.57
2025-11-10,102,92436,266.67,270.29,264.76,265.71
2025-11-11,84,64749,268.57,268.57,264.76,266.67
2025-11-12,102,59051,266.67,269.05,264,264.29
2025-11-13,89,68930,264.76,268.57,263.81,264.76
2025-11-16,82,43514,263.81,266.67,263.05,265.33
2025-11-17,103,88744,261.9,267.62,261.9,265.14
2025-11-18,78,51759,268.38,269.52,266,267.62
2025-11-19,73,61236,267.62,269.52,264.19,267.62
2025-11-20,99,110273,272.86,272.86,261.9,263.24
2025-11-23,126,64546,265.71,269.43,265.71,268.48
2025-11-24,125,134836,268.48,273.24,268.48,270.57
2025-11-25,109,90424,267.14,273.62,267.14,271.43
2025-11-26,115,88147,267.62,274.76,267.62,272.29
2025-11-27,113,71969,272.38,273.33,270.48,271.43
2025-11-30,131,127727,271.43,274,269.62,270
2025-12-01,111,81798,267.81,273.05,267.71,270.48
2025-12-02,118,92855,275.81,275.81,270,271.33
2025-12-03,104,105631,276.67,276.67,268.1,268.1
2025-12-07,108,62403,266.86,272.76,266.76,267.62
