date_np,bars,volume,open,high,low,close
2025-12-24,191,48665,480.5,490,475,478
2025-12-28,218,48867,472,490,472,484
2025-12-29,205,56150,484,485,475,475.1
2025-12-31,221,105576,475.1,497,475.1,490
2026-01-01,217,86888,490,505,487.4,497.4
2026-01-04,225,146419,495,517,490.1,515
2026-01-05,236,196474,520,546.9,520,546
2026-01-06,236,180534,550,569,520.7,530
2026-01-07,230,106998,521,539.9,510,513
2026-01-08,216,113701,513,534,510,533
2026-01-12,238,192393,533,559,530,550
2026-01-13,239,232119,550,574.8,537,543
2026-01-14,224,78218,532.2,550,532,532
2026-01-18,228,92643,542,553,531.2,549.8
2026-01-20,210,169106,556,569.9,550,552.5
2026-01-21,215,213417,555,582,553,580
2026-01-22,218,138314,582,592,570.1,589.8
2026-01-25,231,222400,601,618,585,596
2026-01-26,229,288807,599.9,643,581.2,640
2026-01-27,232,239515,640,699,633,641
2026-01-28,233,199880,638,698,629,669
2026-01-29,231,186062,679,679,618,618
2026-02-01,220,110370,617,625,599,604
2026-02-02,236,166349,608,652,608,638
2026-02-03,229,106055,640,645,618,623
2026-02-04,217,69413,635,637,614,620
2026-02-05,205,112487,616,627,599.5,609
2026-02-08,218,58682,600,621,600,600
2026-02-09,210,92271,590,612,578,585
2026-02-10,211,89637,585,625,585,603
2026-02-11,178,51685,612,617.9,590,595.9
2026-02-12,202,67877,587,602,585,588
2026-02-16,183,35324,588,602,582.1,587
2026-02-17,175,37443,587,595,569.1,574
2026-02-22,195,53366,565.1,571,553,557.7
2026-02-23,159,30371,557.7,566,557,564.9
2026-02-24,170,41918,565,601,562.1,590
2026-02-25,180,54007,590,602,587.1,592
2026-02-26,144,32661,592,592.1,576.4,581
2026-03-01,157,29941,570,583,569.4,582
2026-03-03,132,38987,580,595,573,592
2026-03-09,3,500,603.8,640,603.8,639
2026-03-10,193,97238,651,651,605,617
2026-03-11,179,62249,617,620,598,600
2026-03-12,175,50533,605,606.5,590,591
2026-03-15,187,45760,579.2,601.8,579.2,587
2026-03-16,165,38658,580.1,594.3,580,588
2026-03-17,163,50256,595,595,577,586
2026-03-19,204,66263,586,597.7,580,593
2026-03-22,181,55472,592.5,595,585,588
2026-03-23,130,46679,578.1,590,578.1,590
2026-03-24,193,56312,590,606.8,590,602
2026-03-25,199,80689,602,614,597.8,609.9
2026-03-26,208,105838,609,629,605,618
2026-03-29,209,64741,608.2,618,590.1,590.5
2026-03-30,198,40168,582.1,598,579.2,584.6
2026-03-31,176,37311,584.6,593,568,586
2026-04-01,156,37302,586,586,564.5,565.1
2026-04-02,161,28483,566,571.2,540,562
2026-04-05,199,58923,560,560,506.5,515
2026-04-06,156,44697,520,550.8,515,533
2026-04-07,159,21013,533,550,528,529.1
2026-04-08,183,54886,531,563,531,563
2026-04-09,179,71824,574,590,563.3,574
2026-04-10,165,49888,580,583,560,562
2026-04-13,178,33162,561.1,568.7,550,557
2026-04-15,173,37995,566,572.9,555,569
2026-04-16,148,27967,575,575,550,550.1
2026-04-17,150,37232,541,559.9,539.2,556
2026-04-20,177,34971,582,582,540.3,557
2026-04-21,185,36884,542,565,542,551
2026-04-22,165,46355,578,578,535,555.9
2026-04-23,163,26829,551,560,544.3,548
2026-04-24,131,18024,536,553.7,535,544
