date_np,bars,volume,open,high,low,close
2025-07-24,228,548780,216,218,212.1,213.07
2025-07-27,226,664937,214,215.5,209,209.06
2025-07-28,209,353662,210,210,205,208.42
2025-07-29,220,365107,210,212,207.3,208.48
2025-07-30,206,264944,210,213,206.2,206.64
2025-07-31,211,254449,207,207,205,205.07
2025-08-03,213,253126,203.1,205,202.2,202.42
2025-08-04,211,246539,206.4,206.4,200.2,201.95
2025-08-05,197,170677,201,204.8,200.1,200.57
2025-08-06,200,194040,202,202,198,200.12
2025-08-07,208,219141,204.1,204.1,199.6,199.75
2025-08-11,175,220979,202,202,198,198.1
2025-08-12,195,194389,200,200,196.3,196.51
2025-08-13,178,121812,198.9,198.9,196.3,196.56
2025-08-14,188,196622,197,198.8,196,196.19
2025-08-17,188,179120,196,197,195,195.08
2025-08-18,189,151066,195.9,196,194.1,195.49
2025-08-19,169,99855,197,197,195.1,195.75
2025-08-20,156,121649,199.6,199.6,194.1,194.64
2025-08-21,166,140543,194.1,195,194,194.49
2025-08-24,163,136217,194,195.3,193,193.12
2025-08-25,169,101462,194,194,192.4,193.38
2025-08-26,167,99620,192.4,195,192.4,193.29
2025-08-27,154,96114,197.1,197.1,193,195.37
2025-08-28,154,113914,196,196,193,193.09
2025-08-31,174,135154,195,195,192,192.12
2025-09-01,165,104747,190,198.9,190,191.61
2025-09-02,153,91111,195.4,195.4,190.8,191.04
2025-09-03,173,120350,192,192,190,190.07
2025-09-04,180,140070,190,191.8,187.1,187.78
2025-09-07,152,77624,188,189.7,185.5,185.86
2025-09-08,118,89359,186,187,183,183.24
2025-09-18,8,31896,179.6,179.6,169.1,169.1
2025-09-21,226,360644,170,186,170,185.99
2025-09-23,188,145187,184,195,184,192.4
2025-09-24,143,73886,194,194,187,188.4
2025-09-25,118,44954,189,189.9,186,187.1
2025-09-28,124,59047,187,191.7,187,189
2025-10-07,151,76249,189,189,185.1,185.1
2025-10-08,156,111802,184.5,186.3,180.4,182.3
2025-10-09,138,119714,189.6,194,184,185
2025-10-12,164,83441,185,186,180.2,181
2025-10-13,130,67720,184,184,178,182
