date_np,bars,volume,open,high,low,close
2025-12-21,120,105447,738,750,733.3,735
2025-12-22,75,77381,740,740,721,725
2025-12-23,74,55091,730,730,721.2,725
2025-12-24,93,64165,739,739,726,730
2025-12-28,128,136618,739,756.9,731,753
2025-12-29,104,98006,759.9,761,743,749.7
2025-12-31,111,115779,744.4,759.1,744.4,754
2026-01-01,107,97829,747.1,760,743,745
2026-01-04,82,57683,737,750.8,730.4,733
2026-01-05,113,124857,735,754.5,731.2,750
2026-01-06,162,231496,751,771,750.5,764.7
2026-01-07,133,132986,779.9,779.9,753.5,753.5
2026-01-08,113,151349,753.5,769,750.3,763
2026-01-12,196,405871,771,789,769,788
2026-01-13,227,674600,794.7,820,794.7,819
2026-01-14,201,324761,833,833,797,802
2026-01-18,198,310404,800,814,792.6,792.7
2026-01-20,189,477973,815,825,802,820.5
2026-01-21,181,344026,821,833,810,815
2026-01-22,155,211263,822,822,801.1,805
2026-01-25,187,317426,810,820,804.1,811
2026-01-26,179,361837,810,824.3,806.5,810
2026-01-27,222,687523,819,854.7,815,827
2026-01-28,204,639015,845,867,835.2,863
2026-01-29,209,497203,880.1,889,848,860
2026-02-01,195,458748,853,870,838,845
2026-02-02,176,333893,828.1,857,828.1,844
2026-02-03,166,246150,827.2,854,827.2,836
2026-02-04,158,308443,852.7,860,842.1,850
2026-02-05,220,654099,833,895.4,833,875
2026-02-08,203,497610,885,894,877.1,886
2026-02-09,170,311170,880.1,883.9,856,862
2026-02-10,168,333691,865,870,850,852.8
2026-02-11,148,228817,862,862,838,848
2026-02-12,141,269454,831.1,855,831.1,845
2026-02-16,128,163075,828.1,855,828.1,845
2026-02-17,125,222802,848,848.8,830.1,831.7
2026-02-22,158,215666,835,845,827.5,840
2026-02-23,128,176577,844.8,850.1,835,847.9
2026-02-24,139,188890,831,859,831,855.6
2026-02-25,117,112176,851.1,862,850,850
2026-02-26,90,127962,852,853,847,849
2026-03-01,137,424938,840,857,838.3,856.9
2026-03-03,133,239141,874,880,846.2,873.5
2026-03-09,3,24345,890.9,925,890.9,920
2026-03-10,189,511932,922,922,884,897
2026-03-11,164,283579,914.9,914.9,875,875
2026-03-12,146,276580,875,887.9,874.5,874.5
2026-03-15,166,510800,857.1,905,857.1,900
2026-03-16,130,182681,900,904,880,888
2026-03-17,122,155640,878.1,896,873,882
2026-03-19,161,316006,875,897,875,884.5
2026-03-22,140,289526,866.9,894.1,866.9,877.3
2026-03-23,93,222605,880,881.9,869.5,878
2026-03-24,200,746092,890,914,888.2,905
2026-03-25,159,369645,908,922,894,899.9
2026-03-26,116,258398,899,902.9,890.2,897
2026-03-29,179,397284,900,903,870,872
2026-03-30,180,304523,889.4,889.4,850.3,864.5
2026-03-31,144,299105,881.7,881.7,845,854
2026-04-01,157,258655,837,853,810,823
2026-04-02,137,168981,820,843,811,821
2026-04-05,171,296038,805,805,771,776
2026-04-06,156,161644,787,819,779,809.5
2026-04-07,122,108105,815,824.9,800.5,809
2026-04-08,107,141394,815,825,808,825
2026-04-09,109,132099,825,842,817.1,840
2026-04-10,124,162553,845,845,820,825.1
2026-04-13,86,104467,825.2,833,812,812
2026-04-15,108,127361,820,832.6,816.3,825
2026-04-16,96,116129,825,827.2,808.1,814.5
2026-04-17,91,101556,815,819,798.1,806
2026-04-20,82,57776,765.7,811,765.7,799.8
2026-04-21,52,53081,759.9,810,759.9,794
2026-04-22,94,105077,790,805.3,775,803
2026-04-23,56,46925,762.9,824,762.9,789
2026-04-24,65,36399,795,795,775,790
