date_np,bars,volume,open,high,low,close
2025-07-06,162,262490,261,261.1,255.5,255.52
2025-07-07,167,166173,260.6,260.6,253.72,253.72
2025-07-08,154,146402,254,258,251.1,253.61
2025-07-09,136,157337,256.1,258.9,254,256.71
2025-07-10,161,265586,259.2,260.5,252,254.31
2025-07-13,185,237020,259.3,261,253,253.7
2025-07-14,141,134189,258,258,251.5,253.73
2025-07-15,181,274953,256,267,256,261.98
2025-07-16,158,203223,265,268,262,262.97
2025-07-17,193,358596,264.2,273.3,263.1,268.99
2025-07-20,212,417773,270,274.3,264.3,265.02
2025-07-21,180,266588,265,270,262.2,264.89
2025-07-22,199,385744,268,271.2,264,269.08
2025-07-23,230,1233763,272,288,267,283.1
2025-07-24,234,887555,290.5,292.8,285.6,289.39
2025-07-27,236,2115016,289,306,289,296.57
2025-07-28,223,1105825,296.5,301.8,289,295.06
2025-07-29,225,639959,300,300,290.4,291.19
2025-07-30,234,727716,290.5,290.5,279.4,280.05
2025-07-31,219,486879,280.5,284,273.6,274.78
2025-08-03,214,437809,280.2,280.2,270.3,270.96
2025-08-04,185,241200,276,276,267.1,272.08
2025-08-05,163,235126,277,277,265.1,265.98
2025-08-06,148,172387,269,269,264,264.7
2025-08-07,194,342723,268,276,264.1,273.21
2025-08-11,153,177842,274,275,265.6,265.73
2025-08-12,155,194489,265,268,263,263.11
2025-08-13,152,222208,265,271.3,264,264.62
2025-08-14,146,164126,264,269,263.6,264.35
2025-08-17,157,228275,265,267.9,260,260.23
2025-08-18,138,166540,265.4,265.4,259,262.06
2025-08-19,148,173077,262.9,267,262.3,262.91
2025-08-20,96,102817,262.1,265,261.2,261.54
2025-08-21,135,217596,262,262.6,257,257.5
2025-08-24,145,113831,257.1,262,255,255.89
2025-08-25,131,106914,257,259.7,255,259.03
2025-08-26,103,98307,260,261,257,257.62
2025-08-27,142,202517,256.2,269.2,256.1,268.64
2025-08-28,225,540030,272,275.6,268,268.55
2025-08-31,156,194026,265.1,270,261,262.88
2025-09-01,119,93412,252.7,265,252.7,264
2025-09-02,137,128478,265,268.7,260.1,260.56
2025-09-03,105,106451,260,263,258,258.11
2025-09-04,150,237317,261,261,252,255.64
2025-09-07,130,108601,255,259.7,255,255.57
2025-09-08,113,177195,255,256.9,250.8,252.68
2025-09-18,8,27541,243,243,230.5,238
2025-09-21,183,331530,234,261.8,234,254.61
2025-09-23,154,139236,258,262.9,254.1,261
2025-09-24,107,83728,260.9,264.9,256,256.2
2025-09-25,96,82433,253.3,260,253.3,259
2025-09-28,79,70391,260.9,262,257,260
2025-10-07,129,158356,255,259,249.9,252.9
2025-10-08,141,150938,254,254,241.6,247.6
2025-10-09,109,136206,252.5,262.6,248.5,250
2025-10-12,140,151540,245.2,249.5,240.2,243.7
2025-10-13,128,102825,245.9,248.5,235.6,245
2025-10-14,78,41998,246,246,240,240.2
2025-10-15,74,45337,240,241,237,238
2025-10-16,97,59712,240,240,234.1,235
2025-10-19,82,39191,234.1,238.9,232.1,235
2025-10-26,88,40959,233.9,237,231.1,236
2025-10-28,109,90067,237,245,237,242.5
2025-10-29,103,90368,246,248.1,240,240
2025-10-30,119,135863,240,247.5,239.2,247.5
2025-11-02,162,186893,249,258,248.4,257
2025-11-03,127,147594,258,259,250,255
2025-11-04,103,125792,252,255.9,247,247.1
2025-11-05,78,55546,252,252,245,249.5
2025-11-06,76,61814,254.4,254.4,247,248.9
2025-11-09,103,90609,247,248,241,244
2025-11-10,83,53981,241.1,245.9,240.1,241
2025-11-11,86,64995,240,244,240,241.1
2025-11-12,74,33096,245.9,245.9,240.1,241.2
2025-11-13,82,43490,241,244.5,240,241.5
2025-11-16,79,41247,246.3,246.3,238.4,239.9
2025-11-17,60,57336,239.9,243.8,238.2,239.5
2025-11-18,65,60603,244,245.9,240.1,243
2025-11-19,71,40773,243,245.5,239,241
2025-11-20,98,113532,238.4,246.9,238.4,242
2025-11-23,118,98094,242.3,247.9,242.3,247
2025-11-24,100,105290,248,252,247.2,249.9
2025-11-25,102,61764,249,252,246.3,248
2025-11-26,93,144469,252.9,255,246.1,248
2025-11-27,116,137137,252.5,252.5,249,250
2025-11-30,102,94555,251,252,245,245.8
2025-12-01,75,56211,245.8,248.5,244,245
2025-12-02,92,83145,245,247.9,242,243
2025-12-03,77,56038,247.8,247.8,242.1,243
2025-12-07,81,70857,241.7,244.5,241,243
2025-12-08,71,65655,243,244,240.1,242
2025-12-09,57,77042,243,244,241,241.8
2025-12-10,58,45440,243.9,244,241,242
2025-12-11,82,57592,240.2,243.9,240.2,242
2025-12-14,71,65128,242,243,240,241
2025-12-15,83,86427,240,242,238.2,240.4
2025-12-16,104,95341,240.5,245,240.1,245
2025-12-17,92,59838,245,246.1,244,245
2025-12-18,80,68968,245,246.7,243,243.9
2025-12-21,80,77722,241.1,243.5,241,241
2025-12-22,80,102466,241,245,239.5,242.9
2025-12-23,63,98123,241.1,245.7,240.8,245.6
2025-12-24,68,49807,245.8,246.9,242.8,244
2025-12-28,129,102540,244.6,249,244.6,248.9
2025-12-29,101,139257,251,251,245.1,247
2025-12-31,109,88534,247,251,247,247
2026-01-01,82,61915,251,251,244.1,245.8
2026-01-04,83,39069,247.8,247.8,242.2,242.5
2026-01-05,93,87311,243,247,242,244.9
2026-01-06,111,157115,245,250.3,245,248
2026-01-07,100,137565,246,250.6,246,246.9
2026-01-08,88,77940,249.1,249.8,245.5,249.5
2026-01-12,93,56646,245.2,249.5,245,246.2
2026-01-13,80,88201,246.2,249.7,245.1,248
2026-01-14,73,61791,248,250,245.1,246
2026-01-18,109,114201,250.9,250.9,246.1,247.1
2026-01-20,155,248194,250,255.8,250,254.5
2026-01-21,156,325470,255.1,258.8,252,254.6
2026-01-22,120,139766,253,255,251.3,255
2026-01-25,182,255297,259,264.5,256.5,264
2026-01-26,201,895590,259,274,259,272.9
2026-01-27,220,773282,274,279.4,265,269
2026-01-28,181,448218,266,281,264.5,267
2026-01-29,212,820426,270,278,269,271
2026-02-01,154,265681,275,275,265,266.8
2026-02-02,192,544698,267,271,266,268
2026-02-03,144,428824,265.1,271.7,265,265
2026-02-04,120,149718,268,270,262.6,263.9
2026-02-05,187,649837,264,273,261,271
2026-02-08,193,753935,272,279,267,269
2026-02-09,190,361747,273,273,264.6,266.9
2026-02-10,221,1170140,270,288,267.1,277.3
2026-02-11,194,625131,277.3,285.6,272,283.2
2026-02-12,207,548623,277.6,287.5,277,277
2026-02-16,182,366580,277.5,279,265,269
2026-02-17,187,510157,274.3,274.3,258.8,265
2026-02-22,171,274699,270.3,270.3,255.2,256.8
2026-02-23,137,116004,261.9,261.9,254,256
2026-02-24,92,83838,258,261,256.1,259.9
2026-02-25,105,125242,262,262,257.2,260
2026-02-26,129,203635,265,268,258.8,263.8
2026-03-01,148,209735,260,267.5,259.1,267.5
2026-03-03,154,253442,272.8,274.8,257.4,272.9
2026-03-09,3,13810,278.3,299,278.3,299
2026-03-10,212,1022629,303,303,283.6,289
2026-03-11,211,581995,291,298.5,286,286
2026-03-12,226,985982,282.1,297.1,282,295
2026-03-15,208,562706,300,300,290,293
2026-03-16,192,414888,293,294,284.2,289.9
2026-03-17,212,1250967,290,300,284.5,299.5
2026-03-19,240,1694102,305,317,301.2,310
2026-03-22,211,1073297,315,315,300.1,305.1
2026-03-23,152,609068,311.1,311.1,300,306
2026-03-24,213,563162,312.1,314.9,305.2,308
2026-03-25,198,468970,309.9,309.9,299,302
2026-03-26,197,400064,296,305,296,304.9
2026-03-29,219,547794,304.9,305,291.2,291.9
2026-03-30,204,524734,292.1,295.1,282.1,283.6
2026-03-31,206,401301,285,290.7,278.2,285
2026-04-01,191,449822,282,285,270,272
2026-04-02,201,304627,270,278.4,265,271.9
2026-04-05,207,472952,272,272,257.9,257.9
2026-04-06,203,351747,253,277,253,272
2026-04-07,176,287220,275,277.9,269,270
2026-04-08,148,192682,275,278,272,277.5
2026-04-09,183,266185,278,285,275,282
2026-04-10,154,225775,280,284,274,276
2026-04-13,145,158325,275,281,272,278
2026-04-15,199,380076,279,291,278.3,286.5
2026-04-16,174,267302,292.2,292.2,276,276.9
2026-04-17,144,214197,280.9,283,275,282
2026-04-20,115,105502,280.1,281.6,275,278
2026-04-21,116,107684,278,279.8,272,272.1
2026-04-22,136,171776,258.5,278,258.5,275
2026-04-23,118,158300,272,275.5,267,268
2026-04-24,123,117700,272,272,263.5,268
