symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
PMHPL,2021-09-01,2026-04-17,1595,True,90,18685442.60,53891.00,350.00,True,,HYDROPOWER,high,curated_lookup,False,
MKJC,2021-11-03,2026-04-17,1589,False,90,18646780.05,35603.50,529.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
RNLI,2023-09-17,2026-04-17,939,False,90,18069385.70,38541.00,468.95,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
MHL,2022-08-17,2026-04-17,1320,False,90,17791901.20,32869.00,525.30,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
NMIC,2025-04-08,2026-04-17,371,False,90,17747272.60,13597.00,1315.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
RHPL,2021-09-01,2026-04-17,1595,True,90,17226290.30,59675.00,292.25,True,,HYDROPOWER,high,curated_lookup,False,
ALBSL,2021-09-01,2026-04-17,1592,True,90,17204997.70,15536.00,1160.00,True,,MICROFINANCE,high,curated_lookup,True,
SGHC,2022-08-17,2026-04-17,1320,False,90,17182177.90,43608.00,410.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SADBL,2021-09-01,2026-04-17,1595,True,90,17012396.50,40135.00,419.65,True,,DEV_BANK,high,curated_lookup,False,
GFCL,2021-09-01,2026-04-17,1595,True,90,16924884.90,25586.50,664.00,True,,FINANCE,high,curated_lookup,True,
SHL,2021-09-01,2026-04-17,1595,True,90,16706595.05,33660.00,501.50,True,,HOTEL,high,curated_lookup,True,
MLBL,2021-09-01,2026-04-17,1595,True,90,16505606.85,43928.00,376.00,True,,MICROFINANCE,high,curated_lookup,True,
MABEL,2025-11-04,2026-04-17,161,False,90,16396416.90,22364.50,755.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SIFC,2021-09-01,2026-04-17,1592,True,90,16384127.70,29256.50,591.80,True,,FINANCE,high,curated_lookup,True,
ULHC,2023-09-25,2026-04-17,931,False,90,16250171.50,31168.00,532.55,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SJLIC,2023-01-25,2026-04-17,1159,False,90,16117580.70,36569.00,447.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
BUNGAL,2025-11-10,2026-04-17,155,False,90,16095124.75,25149.50,652.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
PCBL,2021-09-01,2026-04-17,1595,True,90,15906653.15,65503.50,242.20,True,,COMMERCIAL_BANK,high,curated_lookup,True,
OMPL,2025-05-04,2026-04-17,345,False,90,15672461.45,11939.00,1333.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
LICN,2021-09-01,2026-04-17,1595,True,90,15299906.55,18068.50,848.55,True,,LIFE_INSURANCE,high,curated_lookup,True,
MBJC,2021-12-26,2026-04-17,1542,False,90,15100417.80,51820.00,293.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
CIT,2021-09-01,2026-04-17,1595,True,90,14954774.80,8420.00,1780.95,True,,INVESTMENT,high,curated_lookup,False,
SIKLES,2022-11-15,2026-04-17,1230,False,90,14928993.20,23666.00,620.20,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
USHEC,2022-08-17,2026-04-17,1320,False,90,14850923.20,30898.50,483.10,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
ADBL,2021-09-01,2026-04-17,1595,True,90,14601174.90,47965.00,304.90,True,,COMMERCIAL_BANK,high,curated_lookup,True,
MDB,2021-09-01,2026-04-17,1595,True,90,14569388.25,23169.00,637.50,True,,DEV_BANK,high,curated_lookup,False,
JHAPA,2025-11-16,2026-04-17,149,False,90,14216039.70,10133.00,1433.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
STC,2021-09-01,2026-04-17,1594,True,90,14102420.60,2343.00,5694.00,True,,TRADING,high,curated_lookup,True,
SRLI,2023-05-21,2026-04-17,1057,False,90,14056523.20,35648.50,396.20,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
ICFC,2021-09-01,2026-04-17,1595,True,90,13979220.20,20899.00,660.00,True,,FINANCE,high,curated_lookup,True,
SKBBL,2021-09-01,2026-04-17,1499,True,90,13942184.75,17550.50,775.50,True,,MICROFINANCE,high,curated_lookup,True,
